,saledate,MA,type,bedrooms,year
34,2016-03-31,482440,house,2,2016
35,2016-06-30,486436,house,2,2016
36,2016-09-30,489104,house,2,2016
37,2016-12-31,491152,house,2,2016
38,2017-03-31,494544,house,2,2017
39,2017-06-30,498846,house,2,2017
40,2017-09-30,504592,house,2,2017
41,2017-12-31,506578,house,2,2017
42,2018-03-31,507248,house,2,2018
43,2018-06-30,506116,house,2,2018
44,2018-09-30,504318,house,2,2018
45,2018-12-31,506001,house,2,2018
46,2019-03-31,496133,house,2,2019
47,2019-06-30,500158,house,2,2019
48,2019-09-30,510712,house,2,2019
85,2016-03-31,556586,house,3,2016
86,2016-06-30,564267,house,3,2016
87,2016-09-30,572582,house,3,2016
88,2016-12-31,581485,house,3,2016
89,2017-03-31,590949,house,3,2017
90,2017-06-30,601041,house,3,2017
91,2017-09-30,609355,house,3,2017
92,2017-12-31,615743,house,3,2017
93,2018-03-31,619638,house,3,2018
94,2018-06-30,622466,house,3,2018
95,2018-09-30,624602,house,3,2018
96,2018-12-31,626608,house,3,2018
97,2019-03-31,628423,house,3,2019
98,2019-06-30,630814,house,3,2019
99,2019-09-30,631875,house,3,2019
136,2016-03-31,727736,house,4,2016
137,2016-06-30,737159,house,4,2016
138,2016-09-30,745430,house,4,2016
139,2016-12-31,755683,house,4,2016
140,2017-03-31,771216,house,4,2017
141,2017-06-30,789732,house,4,2017
142,2017-09-30,810694,house,4,2017
143,2017-12-31,828058,house,4,2017
144,2018-03-31,836056,house,4,2018
145,2018-06-30,837295,house,4,2018
146,2018-09-30,830727,house,4,2018
147,2018-12-31,820924,house,4,2018
148,2019-03-31,811121,house,4,2019
149,2019-06-30,803925,house,4,2019
150,2019-09-30,791446,house,4,2019
185,2016-03-31,923594,house,5,2016
186,2016-06-30,933589,house,5,2016
187,2016-09-30,952327,house,5,2016
188,2016-12-31,968331,house,5,2016
189,2017-03-31,980953,house,5,2017
190,2017-06-30,995349,house,5,2017
191,2017-09-30,1004117,house,5,2017
192,2017-12-31,1010848,house,5,2017
193,2018-03-31,1015529,house,5,2018
194,2018-06-30,1017752,house,5,2018
195,2018-09-30,1007114,house,5,2018
196,2018-12-31,1002323,house,5,2018
197,2019-03-31,998136,house,5,2019
198,2019-06-30,995363,house,5,2019
199,2019-09-30,970268,house,5,2019
233,2016-03-31,326476,unit,1,2016
234,2016-06-30,324725,unit,1,2016
235,2016-09-30,325127,unit,1,2016
236,2016-12-31,325521,unit,1,2016
237,2017-03-31,327870,unit,1,2017
238,2017-06-30,330319,unit,1,2017
239,2017-09-30,332481,unit,1,2017
240,2017-12-31,334804,unit,1,2017
241,2018-03-31,336637,unit,1,2018
242,2018-06-30,338105,unit,1,2018
243,2018-09-30,339220,unit,1,2018
244,2018-12-31,339350,unit,1,2018
245,2019-03-31,337838,unit,1,2019
246,2019-06-30,336551,unit,1,2019
247,2019-09-30,335449,unit,1,2019
283,2016-03-31,431418,unit,2,2016
284,2016-06-30,430880,unit,2,2016
285,2016-09-30,430654,unit,2,2016
286,2016-12-31,430308,unit,2,2016
287,2017-03-31,429897,unit,2,2017
288,2017-06-30,429059,unit,2,2017
289,2017-09-30,428878,unit,2,2017
290,2017-12-31,428532,unit,2,2017
291,2018-03-31,427856,unit,2,2018
292,2018-06-30,427623,unit,2,2018
293,2018-09-30,426970,unit,2,2018
294,2018-12-31,426936,unit,2,2018
295,2019-03-31,426669,unit,2,2019
296,2019-06-30,425659,unit,2,2019
297,2019-09-30,424412,unit,2,2019
332,2016-03-31,617363,unit,3,2016
333,2016-06-30,622045,unit,3,2016
334,2016-09-30,616198,unit,3,2016
335,2016-12-31,610618,unit,3,2016
336,2017-03-31,606935,unit,3,2017
337,2017-06-30,605273,unit,3,2017
338,2017-09-30,606850,unit,3,2017
339,2017-12-31,604413,unit,3,2017
340,2018-03-31,604293,unit,3,2018
341,2018-06-30,603434,unit,3,2018
342,2018-09-30,603281,unit,3,2018
343,2018-12-31,601167,unit,3,2018
344,2019-03-31,605637,unit,3,2019
345,2019-06-30,599339,unit,3,2019
346,2019-09-30,597884,unit,3,2019
